NCBI_GeneID_pig	NCBI_GeneID_human	Ensembl_GeneID_pig	Ensembl_GeneID_human	geneName_pig	geneName_human
	91380	ENSSSCG00000026614	ENSG00000276314	SNORD107	SNORD107
		ENSSSCG00000034636			
		ENSSSCG00000018576			
		ENSSSCG00000038809	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000018786			
		ENSSSCG00000040971			
		ENSSSCG00000020286			
		ENSSSCG00000020214	ENSG00000201097	U6	RNU6-366P
		ENSSSCG00000039785	ENSG00000202186	U6	RNU6-497P
		ENSSSCG00000029376	ENSG00000252686	U6	RNU6-1234P
		ENSSSCG00000038088	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000019920			
		ENSSSCG00000039038	ENSG00000252499	U6	RNU6-63P
		ENSSSCG00000020274			
		ENSSSCG00000032033	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000036023			
		ENSSSCG00000033678	ENSG00000206766	U6	RNU6-435P
		ENSSSCG00000038674			
		ENSSSCG00000038860	ENSG00000272439	U6	RNU6-91P
		ENSSSCG00000040876	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000024657			
		ENSSSCG00000027605			
		ENSSSCG00000018107			
	109617011	ENSSSCG00000022691	ENSG00000212295	SNORD28	SNORD28B
		ENSSSCG00000033357	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000018357			
		ENSSSCG00000031394	ENSG00000212623	U6	RNU6-493P
		ENSSSCG00000025642	ENSG00000240647	Metazoa_SRP	RN7SL305P
	26817	ENSSSCG00000020299	ENSG00000202503	SNORD34	SNORD34
		ENSSSCG00000045088	ENSG00000212532		
		ENSSSCG00000035485	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000034626			
		ENSSSCG00000024713			
		ENSSSCG00000043691	ENSG00000202026	U6	RNU6-1134P
		ENSSSCG00000035576	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000040758	ENSG00000202026	U6	RNU6-1134P
		ENSSSCG00000033556	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000020132			
	692076	ENSSSCG00000018995	ENSG00000207297	SNORD7	SNORD7
	677811	ENSSSCG00000019544	ENSG00000272533		SNORA28
		ENSSSCG00000018440	ENSG00000222777	U6	RNU6-233P
		ENSSSCG00000025916			
		ENSSSCG00000020544			
		ENSSSCG00000041547	ENSG00000202026	U6	RNU6-1134P
		ENSSSCG00000020173			
		ENSSSCG00000037506	ENSG00000202026	U6	RNU6-1134P
		ENSSSCG00000044634			
		ENSSSCG00000023375			
		ENSSSCG00000019410	ENSG00000206583	U6	RNU6-1292P
		ENSSSCG00000032338	ENSG00000202026	U6	RNU6-1134P
		ENSSSCG00000050976			
		ENSSSCG00000036251			
		ENSSSCG00000018482			
	574040	ENSSSCG00000028403	ENSG00000206760	SNORA62	SNORA6
		ENSSSCG00000030077			
		ENSSSCG00000033940			
		ENSSSCG00000020512			
		ENSSSCG00000019894			
		ENSSSCG00000042704	ENSG00000252053	U6	RNU6-1101P
		ENSSSCG00000034208			
		ENSSSCG00000031156			
		ENSSSCG00000035301			
		ENSSSCG00000032593			
		ENSSSCG00000039642			
		ENSSSCG00000028732			
	101340251	ENSSSCG00000034694	ENSG00000238793	SNORD124	SNORD124
		ENSSSCG00000029607			
		ENSSSCG00000031408			
		ENSSSCG00000019229			
		ENSSSCG00000033595			
		ENSSSCG00000018679	ENSG00000200062	U4	RNU4-58P
		ENSSSCG00000039479			
		ENSSSCG00000020090	ENSG00000207185	U6	RNU6-1157P
		ENSSSCG00000041433			
		ENSSSCG00000019829	ENSG00000200887	U6	RNU6-598P
	101340252	ENSSSCG00000023577	ENSG00000238300	SNORD121B	SNORD121B
		ENSSSCG00000040917			
		ENSSSCG00000023224			
		ENSSSCG00000030340			
	100113379	ENSSSCG00000018689	ENSG00000238886	SNORD121A	SNORD121A
		ENSSSCG00000041199			
		ENSSSCG00000018471			
		ENSSSCG00000039410			
		ENSSSCG00000039263			
		ENSSSCG00000022137	ENSG00000253072		
		ENSSSCG00000038352	ENSG00000206801	U6	RNU6-639P
		ENSSSCG00000019003			
		ENSSSCG00000018620	ENSG00000212589		
		ENSSSCG00000040668			
		ENSSSCG00000021532	ENSG00000222297	U6	RNU6-1156P
	677824	ENSSSCG00000038609	ENSG00000280496	SNORA17B	SNORA17B
	26785	ENSSSCG00000019602	ENSG00000206989	SNORD63	SNORD63
		ENSSSCG00000018152			
		ENSSSCG00000039262			
		ENSSSCG00000035569			
	26821	ENSSSCG00000018891	ENSG00000200959	SNORA74	SNORA74A
		ENSSSCG00000018512			
		ENSSSCG00000049855			
		ENSSSCG00000019537	ENSG00000222640	U2	RNU2-51P
		ENSSSCG00000038686	ENSG00000252049		
		ENSSSCG00000020087	ENSG00000278815	Vault	Vault
		ENSSSCG00000036600			
		ENSSSCG00000035323			
		ENSSSCG00000044006			
		ENSSSCG00000019109			
	6066	ENSSSCG00000040316	ENSG00000274585	U2	RNU2-1
		ENSSSCG00000038154			
		ENSSSCG00000018128	ENSG00000252943	U6	RNU6-264P
		ENSSSCG00000038002			
		ENSSSCG00000020165	ENSG00000252425		
	6066	ENSSSCG00000035117	ENSG00000274585	U2	RNU2-1
		ENSSSCG00000019358			
		ENSSSCG00000042081			
		ENSSSCG00000031658			
		ENSSSCG00000020412			
	8944	ENSSSCG00000018727	ENSG00000208797	SNORD73	SNORD73A
		ENSSSCG00000038319	ENSG00000207122	U6	RNU6-591P
	6066	ENSSSCG00000032126	ENSG00000274585	U2	RNU2-1
		ENSSSCG00000029098			
		ENSSSCG00000019462	ENSG00000206752	U6	RNU6-1323P
	6066	ENSSSCG00000037923	ENSG00000274585	U2	RNU2-1
		ENSSSCG00000040052			
		ENSSSCG00000027271	ENSG00000277308	Metazoa_SRP	Metazoa_SRP
	114655	ENSSSCG00000018533	ENSG00000201264	SNORD73	SNORD73B
		ENSSSCG00000045029			
		ENSSSCG00000039281	ENSG00000223027		
		ENSSSCG00000040819			
		ENSSSCG00000038881			
	6066	ENSSSCG00000035796	ENSG00000274585	U2	RNU2-1
		ENSSSCG00000019720			
		ENSSSCG00000028370			
		ENSSSCG00000032118	ENSG00000202240	U6	RNU6-737P
		ENSSSCG00000019991			
	6066	ENSSSCG00000032737	ENSG00000274585	U2	RNU2-1
		ENSSSCG00000019308			
		ENSSSCG00000037289			
		ENSSSCG00000033468	ENSG00000238658	U6	RNU6-625P
		ENSSSCG00000030374	ENSG00000199293	SNORA21	SNORA21
		ENSSSCG00000046354	ENSG00000209042		SNORD12C
		ENSSSCG00000042408			
		ENSSSCG00000037470			
		ENSSSCG00000018831			
		ENSSSCG00000034850	ENSG00000252126	U6	RNU6-313P
		ENSSSCG00000019588			
		ENSSSCG00000038846			
		ENSSSCG00000019755			
		ENSSSCG00000019368	ENSG00000252499	U6	RNU6-63P
		ENSSSCG00000037346			
	109617014	ENSSSCG00000018229	ENSG00000201025		SNORD74B
		ENSSSCG00000040008	ENSG00000206675	U6	RNU6-32P
		ENSSSCG00000040158	ENSG00000221300		
100620986	79153	ENSSSCG00000021811	ENSG00000102886	GDPD3	GDPD3
	26832	ENSSSCG00000018672	ENSG00000200156	U5	RNU5B-1
		ENSSSCG00000018412			
		ENSSSCG00000018333	ENSG00000251878	SNORD79	SNORD79
		ENSSSCG00000019584			
		ENSSSCG00000034052			
		ENSSSCG00000035305			
		ENSSSCG00000019644			
	26831	ENSSSCG00000019094	ENSG00000199568	U5	RNU5A-1
		ENSSSCG00000032218			
		ENSSSCG00000018270	ENSG00000252860	U6	RNU6-570P
		ENSSSCG00000019069	ENSG00000212168		
		ENSSSCG00000038784			
	692211	ENSSSCG00000035187	ENSG00000283551	SNORD98	SNORD98
		ENSSSCG00000019315	ENSG00000252126	U6	RNU6-313P
		ENSSSCG00000019814	ENSG00000221060		
		ENSSSCG00000033409	ENSG00000207461	U6	RNU6-253P
		ENSSSCG00000032463	ENSG00000278793	U6	U6
		ENSSSCG00000040996	ENSG00000252604	U2	RNU2-44P
		ENSSSCG00000020125	ENSG00000252840		
100737616	55258	ENSSSCG00000025106	ENSG00000144115	THNSL2	THNSL2
		ENSSSCG00000038704	ENSG00000252462	U6	RNU6-113P
		ENSSSCG00000031995			
		ENSSSCG00000050395	ENSG00000199492	U6	RNU6-1313P
		ENSSSCG00000018874	ENSG00000251773	U6	RNU6-1129P
		ENSSSCG00000019527			
		ENSSSCG00000018477			
445013	5595	ENSSSCG00000040682	ENSG00000102882	MAPK3	MAPK3
		ENSSSCG00000033275	ENSG00000200957	U6	RNU6-801P
		ENSSSCG00000020522			
		ENSSSCG00000034824			
		ENSSSCG00000020260	ENSG00000207323	U6	RNU6-901P
		ENSSSCG00000038736	ENSG00000222544	U6	RNU6-735P
		ENSSSCG00000020254	ENSG00000251807	U6	RNU6-202P
		ENSSSCG00000018322			
		ENSSSCG00000020211			
		ENSSSCG00000020210	ENSG00000206999	U6	RNU6-622P
		ENSSSCG00000019770			
		ENSSSCG00000019333	ENSG00000212370	U6	RNU6-482P
		ENSSSCG00000019512			
		ENSSSCG00000023432			
		ENSSSCG00000047221			
		ENSSSCG00000034420			
		ENSSSCG00000026494	ENSG00000207004	U6	RNU6-301P
		ENSSSCG00000036252			
		ENSSSCG00000020436	ENSG00000252386	U6	RNU6-1018P
		ENSSSCG00000037172	ENSG00000283300	U6	U6
		ENSSSCG00000034064	ENSG00000201512	SNORA71	SNORA71C
	26780	ENSSSCG00000018685	ENSG00000207166	SNORA68	SNORA68
		ENSSSCG00000041193			
		ENSSSCG00000019278	ENSG00000223078	U2	RNU2-55P
		ENSSSCG00000019911			
		ENSSSCG00000021771	ENSG00000201271	U1	RNU1-112P
		ENSSSCG00000037739	ENSG00000200354	SNORA71	SNORA71D
		ENSSSCG00000020384			
		ENSSSCG00000018651	ENSG00000212342		
		ENSSSCG00000018194	ENSG00000207343	U6	RNU6-225P
		ENSSSCG00000025722	ENSG00000277034	SNORA71	SNORA71
		ENSSSCG00000020458			
		ENSSSCG00000021542	ENSG00000199266	SNORA71	SNORA60
		ENSSSCG00000020146			
		ENSSSCG00000034337			
		ENSSSCG00000019678	ENSG00000252898	U6	RNU6-1096P
		ENSSSCG00000037249	ENSG00000207256	U6	RNU6-880P
		ENSSSCG00000037315	ENSG00000207202	U6	RNU6-800P
		ENSSSCG00000028689	ENSG00000200354	SNORA71	SNORA71D
		ENSSSCG00000036393			
		ENSSSCG00000020379	ENSG00000251939	U6	RNU6-1278P
		ENSSSCG00000031153			
		ENSSSCG00000020017			
		ENSSSCG00000035880			
		ENSSSCG00000036809	ENSG00000202029	U6	RNU6-580P
100621483	11151	ENSSSCG00000038055	ENSG00000102879	CORO1A	CORO1A
	26783	ENSSSCG00000018580	ENSG00000201302	SNORA65	SNORA65
	677833	ENSSSCG00000032948	ENSG00000207008		SNORA54
		ENSSSCG00000038463	ENSG00000252117	U6	RNU6-1108P
		ENSSSCG00000019619	ENSG00000238917	SNORD10	SNORD10
		ENSSSCG00000020000			
	677833	ENSSSCG00000035241	ENSG00000207008		SNORA54
		ENSSSCG00000028645			
	652965	ENSSSCG00000018563	ENSG00000209582	SNORA48	SNORA48
		ENSSSCG00000047007	ENSG00000222094	U2	RNU2-65P
		ENSSSCG00000033596			
		ENSSSCG00000038669			
		ENSSSCG00000020152			
		ENSSSCG00000019510			
	109617023	ENSSSCG00000040143	ENSG00000201129	SNORA58B	SNORA58B
		ENSSSCG00000039016			
		ENSSSCG00000029854			
		ENSSSCG00000031753			
		ENSSSCG00000020404			
	692225	ENSSSCG00000019715	ENSG00000208772	SNORD94	SNORD94
	727676	ENSSSCG00000023729	ENSG00000200463	U8	SNORD118
		ENSSSCG00000040192	ENSG00000207185	U6	RNU6-1157P
		ENSSSCG00000036414			
		ENSSSCG00000033970			
	654483	ENSSSCG00000033744	ENSG00000169627		BOLA2B
	26781	ENSSSCG00000018964	ENSG00000277985	SNORA67	SNORA67
		ENSSSCG00000018819	ENSG00000207407		
		ENSSSCG00000034995			
		ENSSSCG00000049792			
		ENSSSCG00000039032	ENSG00000199562	U6	RNU6-37P
		ENSSSCG00000038640	ENSG00000206715	U6	RNU6-444P
		ENSSSCG00000037316	ENSG00000252499	U6	RNU6-63P
		ENSSSCG00000019379	ENSG00000200807	U1	RNU1-32P
		ENSSSCG00000018842	ENSG00000207249	SNORA72	SNORA72
		ENSSSCG00000045662			
		ENSSSCG00000035339	ENSG00000238456	U6	RNU6-1014P
		ENSSSCG00000019975	ENSG00000252081	U6	RNU6-277P
		ENSSSCG00000031120			
		ENSSSCG00000020462			
		ENSSSCG00000043597	ENSG00000253063	U6	RNU6-494P
		ENSSSCG00000040370	ENSG00000199790	U6	RNU6-836P
		ENSSSCG00000036558	ENSG00000201770	U6	RNU6-384P
		ENSSSCG00000024077			
		ENSSSCG00000044594	ENSG00000222426	U2	RNU2-50P
100621669	79008	ENSSSCG00000035561	ENSG00000181625		SLX1B
		ENSSSCG00000036164	ENSG00000252205	U6	RNU6-764P
		ENSSSCG00000018929	ENSG00000201747	U6	RNU6-534P
		ENSSSCG00000022210			
		ENSSSCG00000035280	ENSG00000201443	U6	RNU6-309P
		ENSSSCG00000020547			
		ENSSSCG00000035517	ENSG00000206833	U6	RNU6-20P
		ENSSSCG00000040045			
100294702	150572	ENSSSCG00000008215	ENSG00000115593	SMYD1	SMYD1
		ENSSSCG00000034392	ENSG00000252948	U6	RNU6-1314P
		ENSSSCG00000025391			
		ENSSSCG00000040455			
		ENSSSCG00000033066			
		ENSSSCG00000035469			
	692206	ENSSSCG00000018665	ENSG00000212447	SNORD90	SNORD90
		ENSSSCG00000032524			
	619569	ENSSSCG00000019687	ENSG00000207406	SNORA41	SNORA41
		ENSSSCG00000029412			
		ENSSSCG00000040898	ENSG00000207047	SNORD51	SNORD51
		ENSSSCG00000018749			
		ENSSSCG00000019654	ENSG00000200840	U6	RNU6-82P
		ENSSSCG00000019159	ENSG00000238862	SNORD19B	SNORD19B
		ENSSSCG00000020375			
		ENSSSCG00000018540	ENSG00000212493	SNORD19	SNORD19
		ENSSSCG00000038450			
		ENSSSCG00000029220			
	692109	ENSSSCG00000018612	ENSG00000212452	SNORD69	SNORD69
	677777	ENSSSCG00000026919	ENSG00000238795		SCARNA12
		ENSSSCG00000029540	ENSG00000277141	Metazoa_SRP	Metazoa_SRP
		ENSSSCG00000018249	ENSG00000199938	Y_RNA	Y_RNA
		ENSSSCG00000018648			
		ENSSSCG00000020581			
	692148	ENSSSCG00000040520	ENSG00000239002	SCARNA10	SCARNA10
		ENSSSCG00000019781			
		ENSSSCG00000051347			
		ENSSSCG00000019423			
		ENSSSCG00000020372			
		ENSSSCG00000019000			
		ENSSSCG00000039014	ENSG00000202478	U6	RNU6-81P
		ENSSSCG00000037763			
		ENSSSCG00000039278			
445535	2168	ENSSSCG00000008214	ENSG00000163586		FABP1
		ENSSSCG00000049960			
		ENSSSCG00000039213	ENSG00000252429	U7	RNU7-29P
		ENSSSCG00000019080			
		ENSSSCG00000019320	ENSG00000200575	U6	RNU6-414P
	56664	ENSSSCG00000023841	ENSG00000199990	Vault	VTRNA1-1
		ENSSSCG00000032041			
	25826	ENSSSCG00000027560	ENSG00000202400	SNORD82	SNORD82
		ENSSSCG00000039726			
		ENSSSCG00000050925			
	6082	ENSSSCG00000018293	ENSG00000207280	SNORD20	SNORD20
		ENSSSCG00000034590			
		ENSSSCG00000019086			
	654321	ENSSSCG00000019707	ENSG00000206885	SNORA75	SNORA75
		ENSSSCG00000037026			
		ENSSSCG00000020337	ENSG00000252852		
		ENSSSCG00000043924	ENSG00000222094	U2	RNU2-65P
100515537	51315	ENSSSCG00000023294	ENSG00000172086	KRCC1	KRCC1
		ENSSSCG00000020625	ENSG00000202343		
		ENSSSCG00000020257			
		ENSSSCG00000023147	ENSG00000202398	U6	RNU6-61P
		ENSSSCG00000018590			
		ENSSSCG00000039532			
		ENSSSCG00000049246			
		ENSSSCG00000050038			
		ENSSSCG00000019244	ENSG00000222266	U6	RNU6-757P
396636	926	ENSSSCG00000008213	ENSG00000172116	CD8B	CD8B
		ENSSSCG00000045125			
		ENSSSCG00000002529			
		ENSSSCG00000045314			
		ENSSSCG00000020850			
		ENSSSCG00000050124			
		ENSSSCG00000043159			
		ENSSSCG00000036185	ENSG00000251967		
		ENSSSCG00000051691			
		ENSSSCG00000018212	ENSG00000207449	U6	RNU6-19P
		ENSSSCG00000050858			
		ENSSSCG00000049030			
		ENSSSCG00000045806			
		ENSSSCG00000032853	ENSG00000244575		IGKV1-27
		ENSSSCG00000042402			
		ENSSSCG00000034330	ENSG00000206618	U6	RNU6-1264P
		ENSSSCG00000020083	ENSG00000212468	U6	RNU6-754P
		ENSSSCG00000043080			
		ENSSSCG00000036670			
		ENSSSCG00000021557			
		ENSSSCG00000042172			
		ENSSSCG00000040368	ENSG00000206921	U6	RNU6-481P
		ENSSSCG00000051281			
